Step 7: Joint Support Tags
Sequence | Max Force
2730 & 2735 | 19.08   
2730 & 2735 | 8.00    
2730 & 2735 | 2.99    
2730 & 2735 | 23.20   
2730 & 2735 | 10.29   
2730 & 2735 | 3.53    
2730 & 2735 | 16.80   
2730 & 2735 | 4.63    
2730 & 2735 | 2.18    
2730 & 2735 | 28.37   
2730 & 2735 | 12.17   
2730 & 2735 | 3.70    
2730 & 2735 | 15.79   
2730 & 2735 | 7.17    
2730 & 2735 | 2.63    
2730 & 2735 | 18.18   
2730 & 2735 | 8.51    
2730 & 2735 | 2.94    
2730 & 2735 | 38.10   
2730 & 2735 | 14.68   
2730 & 2735 | 5.59    
2730 & 2735 | 10.09   
2730 & 2735 | 4.31    
2730 & 2735 | 1.77    
2730 & 2735 | 15.00   
2730 & 2735 | 7.37    
2730 & 2735 | 2.35    
2730 & 2735 | 25.85   
2730 & 2735 | 9.67    
2730 & 2735 | 3.79    
2730 & 2735 | 33.02   
2730 & 2735 | 13.52   
2730 & 2735 | 4.76    
2730 & 2735 | 25.75   
2730 & 2735 | 9.65    
2730 & 2735 | 3.79    
2730 & 2735 | 32.92   
2730 & 2735 | 13.49   
2730 & 2735 | 4.75    
2730 & 2735 | 4.60    
2730 & 2735 | 0.27    
2730 & 2735 | 0.44    
2730 & 2735 | 11.36   
2730 & 2735 | 5.22    
2730 & 2735 | 1.28    
2730 & 2735 | 12.13   
2730 & 2735 | 5.00    
2730 & 2735 | 1.28    
2730 & 2735 | 6.62    
2730 & 2735 | 0.27    
2730 & 2735 | 0.45    
2730 & 2735 | 16.13   
2730 & 2735 | 7.17    
2730 & 2735 | 1.66    
2760       | 214.98  
2760       | 167.96  
2760       | 125.13  
2760       | 106.26  
2760       | 95.44   
2760       | 53.51   
2760       | 115.40  
2760       | 104.04  
2760       | 170.14  
2760       | 68.39   
2760       | 48.12   
2760       | 168.24  
2760       | 135.10  
2760       | 166.78  
2760       | 133.84  
2760       | 166.86  
2760       | 134.54  
2760       | 163.37  
2760       | 213.17  
2760       | 167.29  
2790       | 122.79  
2790       | 1.99    
2790       | 76.57   
2790       | 1.40    
2790       | 67.73   
2790       | 1.21    
2790       | 49.25   
2790       | 0.98    
2790       | 75.59   
2790       | 1.30    
2790       | 22.46   
2790       | 0.64    
2790       | 54.42   
2790       | 1.02    
2790       | 43.77   
2790       | 0.89    
2790       | 98.80   
2790       | 1.68    
2790       | 45.70   
2790       | 0.89    
2790       | 24.40   
2790       | 0.62    
2790       | 93.82   
2790       | 1.57    
2790       | 61.45   
2790       | 1.17    
2790       | 93.60   
2790       | 1.57    
2790       | 61.27   
2790       | 1.17    
2790       | 19.66   
2790       | 0.06    
2790       | 60.41   
2790       | 0.00    
2790       | 44.85   
2790       | 0.01    
2790       | 21.33   
2790       | 0.06    
2790       | 79.92   
2790       | 0.01    
2830       | 26.94   
2830       | 27.12   
2830       | 10.69   
2830       | 10.77   
2830       | 29.45   
2830       | 29.83   
2830       | 6.19    
2830       | 6.21    
2830       | 0.56    
2830       | 11.77   
2830       | 11.93   
2830       | 19.11   
2830       | 19.04   
2830       | 18.66   
2830       | 18.86   
2840       | 28.80   
2840       | 5.99    
2840       | 20.07   
2840       | 4.45    
2840       | 15.38   
2840       | 3.46    
2840       | 11.70   
2840       | 2.85    
2840       | 19.98   
2840       | 3.49    
2840       | 11.32   
2840       | 2.00    
2840       | 12.16   
2840       | 2.99    
2840       | 9.98    
2840       | 2.64    
2840       | 23.75   
2840       | 5.00    
2840       | 10.76   
2840       | 2.38    
2840       | 6.68    
2840       | 1.77    
2840       | 21.73   
2840       | 4.65    
2840       | 15.51   
2840       | 3.58    
2840       | 21.75   
2840       | 4.63    
2840       | 15.51   
2840       | 3.57    
2840       | 10.76   
2840       | 1.10    
2840       | 4.66    
2840       | 0.07    
2840       | 12.17   
2840       | 0.94    
2840       | 14.74   
2840       | 1.47    
2840       | 5.29    
2840       | 0.04    
2860       | 43.96   
2860       | 31.68   
2860       | 18.73   
2860       | 11.32   
2860       | 41.28   
2860       | 34.71   
2860       | 11.91   
2860       | 5.41    
2860       | 6.30    
2860       | 18.07   
2860       | 13.24   
2860       | 31.60   
2860       | 21.67   
2860       | 31.07   
2860       | 21.52   
2870       | 16.51   
2870       | 2.20    
2870       | 2.11    
2870       | 0.80    
2870       | 7.74    
2870       | 1.20    
2870       | 1.95    
2870       | 0.65    
2870       | 12.72   
2870       | 1.58    
2870       | 4.76    
2870       | 0.13    
2870       | 5.58    
2870       | 0.97    
2870       | 2.24    
2870       | 0.65    
2870       | 9.25    
2870       | 1.45    
2870       | 5.91    
2870       | 0.92    
2870       | 0.94    
2870       | 0.34    
2870       | 11.93   
2870       | 1.69    
2870       | 1.80    
2870       | 0.71    
2870       | 11.98   
2870       | 1.67    
2870       | 1.87    
2870       | 0.70    
2880 & 2885 | 35.63   
2880 & 2885 | 6.68    
2880 & 2885 | 6.36    
2880 & 2885 | 63.18   
2880 & 2885 | 9.09    
2880 & 2885 | 6.58    
2880 & 2885 | 39.93   
2880 & 2885 | 5.70    
2880 & 2885 | 0.28    
2880 & 2885 | 56.74   
2880 & 2885 | 5.84    
2880 & 2885 | 0.33    
2880 & 2885 | 35.91   
2880 & 2885 | 7.99    
2880 & 2885 | 6.71    
2880 & 2885 | 32.76   
2880 & 2885 | 7.79    
2880 & 2885 | 6.72    
2880 & 2885 | 23.27   
2880 & 2885 | 3.62    
2880 & 2885 | 3.90    
2880 & 2885 | 34.71   
2880 & 2885 | 4.38    
2880 & 2885 | 3.98    
2880 & 2885 | 14.67   
2880 & 2885 | 8.79    
2880 & 2885 | 3.46    
2880 & 2885 | 49.24   
2880 & 2885 | 9.89    
2880 & 2885 | 3.66    
2880 & 2885 | 18.28   
2880 & 2885 | 2.94    
2880 & 2885 | 3.45    
2880 & 2885 | 24.41   
2880 & 2885 | 3.29    
2880 & 2885 | 3.50    
2880 & 2885 | 67.79   
2880 & 2885 | 5.53    
2880 & 2885 | 6.13    
2880 & 2885 | 10.08   
2880 & 2885 | 3.92    
2880 & 2885 | 2.62    
2880 & 2885 | 22.33   
2880 & 2885 | 4.29    
2880 & 2885 | 2.70    
2880 & 2885 | 28.71   
2880 & 2885 | 5.12    
2880 & 2885 | 5.04    
2880 & 2885 | 48.46   
2880 & 2885 | 6.62    
2880 & 2885 | 5.19    
2880 & 2885 | 28.63   
2880 & 2885 | 5.13    
2880 & 2885 | 5.02    
2880 & 2885 | 48.14   
2880 & 2885 | 6.59    
2880 & 2885 | 5.17    
2880 & 2885 | 32.98   
2880 & 2885 | 4.00    
2880 & 2885 | 0.27    
2880 & 2885 | 44.52   
2880 & 2885 | 4.11    
2880 & 2885 | 0.31    
2880 & 2885 | 27.00   
2880 & 2885 | 5.97    
2880 & 2885 | 5.30    
2880 & 2885 | 24.65   
2880 & 2885 | 5.85    
2880 & 2885 | 5.31    
2880 & 2885 | 70.50   
2880 & 2885 | 0.40    
2880 & 2885 | 0.22    
2880 & 2885 | 30.32   
2880 & 2885 | 5.34    
2880 & 2885 | 6.51    
2030       | 24.41   
2030       | 4.98    
2030       | 0.59    
2030       | 71.52   
2030       | 5.36    
2030       | 0.62    
2030       | 30.59   
2030       | 5.55    
2030       | 0.65    
2030       | 32.19   
2030       | 5.72    
2030       | 0.68    
2030       | 45.65   
2030       | 0.02    
2030       | 0.01    
2030       | 54.00   
2030       | 0.06    
2030       | 0.02    
2030       | 18.68   
2030       | 3.02    
2030       | 0.38    
2030       | 37.73   
2030       | 3.16    
2030       | 0.40    
2030       | 8.59    
2030       | 2.57    
2030       | 0.33    
2030       | 53.24   
2030       | 3.01    
2030       | 0.39    
2030       | 14.42   
2030       | 2.56    
2030       | 0.33    
2030       | 25.14   
2030       | 2.65    
2030       | 0.34    
2030       | 69.00   
2030       | 5.26    
2030       | 0.62    
2030       | 5.29    
2030       | 1.83    
2030       | 0.25    
2030       | 23.70   
2030       | 1.99    
2030       | 0.27    
2030       | 20.87   
2030       | 3.92    
2030       | 0.47    
2030       | 54.19   
2030       | 4.17    
2030       | 0.50    
2030       | 20.71   
2030       | 3.91    
2030       | 0.47    
2030       | 53.70   
2030       | 4.17    
2030       | 0.50    
2030       | 22.49   
2030       | 4.36    
2030       | 0.52    
2030       | 23.71   
2030       | 4.48    
2030       | 0.54    
2030       | 36.23   
2030       | 0.02    
2030       | 0.00    
2030       | 42.22   
2030       | 0.05    
2030       | 0.01    
2030       | 24.12   
2030       | 5.97    
2030       | 0.72    
2030       | 72.42   
2030       | 0.01    
2030       | 0.00    
2040       | 25.35   
2040       | 5.33    
2040       | 1.53    
2040       | 25.51   
2040       | 5.33    
2040       | 1.53    
2040       | 10.80   
2040       | 0.13    
2040       | 0.05    
2040       | 10.80   
2040       | 0.13    
2040       | 0.05    
2040       | 25.35   
2040       | 5.33    
2040       | 1.53    
2040       | 25.51   
2040       | 5.33    
2040       | 1.53    
2040       | 10.30   
2040       | 3.22    
2040       | 0.95    
2040       | 10.40   
2040       | 3.22    
2040       | 0.95    
2040       | 27.74   
2040       | 2.92    
2040       | 0.89    
2040       | 27.84   
2040       | 2.92    
2040       | 0.89    
2040       | 6.06    
2040       | 2.68    
2040       | 0.79    
2040       | 6.14    
2040       | 2.68    
2040       | 0.79    
2040       | 8.31    
2040       | 5.60    
2040       | 1.67    
2040       | 11.26   
2040       | 1.96    
2040       | 0.60    
2040       | 11.32   
2040       | 1.96    
2040       | 0.60    
2040       | 17.89   
2040       | 4.21    
2040       | 1.22    
2040       | 18.02   
2040       | 4.21    
2040       | 1.22    
2040       | 17.71   
2040       | 4.19    
2040       | 1.22    
2040       | 17.84   
2040       | 4.19    
2040       | 1.22    
2040       | 7.99    
2040       | 0.12    
2040       | 0.04    
2040       | 7.99    
2040       | 0.12    
2040       | 0.04    
2040       | 17.89   
2040       | 4.21    
2040       | 1.22    
2040       | 18.02   
2040       | 4.21    
2040       | 1.22    
2040       | 3.41    
2040       | 0.09    
2040       | 0.03    
2040       | 8.31    
2040       | 5.60    
2040       | 1.67    
2090       | 28.04   
2090       | 5.38    
2090       | 1.96    
2090       | 28.56   
2090       | 5.38    
2090       | 1.96    
2090       | 28.04   
2090       | 5.38    
2090       | 1.96    
2090       | 28.56   
2090       | 5.38    
2090       | 1.96    
2090       | 10.54   
2090       | 0.12    
2090       | 0.04    
2090       | 10.54   
2090       | 0.12    
2090       | 0.04    
2090       | 12.31   
2090       | 3.24    
2090       | 1.21    
2090       | 12.59   
2090       | 3.24    
2090       | 1.21    
2090       | 28.34   
2090       | 2.90    
2090       | 1.13    
2090       | 28.81   
2090       | 2.90    
2090       | 1.13    
2090       | 8.13    
2090       | 2.69    
2090       | 1.01    
2090       | 8.35    
2090       | 2.69    
2090       | 1.01    
2090       | 14.84   
2090       | 5.57    
2090       | 2.07    
2090       | 11.90   
2090       | 1.97    
2090       | 0.77    
2090       | 12.18   
2090       | 1.97    
2090       | 0.77    
2090       | 20.06   
2090       | 4.24    
2090       | 1.55    
2090       | 20.47   
2090       | 4.24    
2090       | 1.55    
2090       | 19.97   
2090       | 4.22    
2090       | 1.55    
2090       | 20.36   
2090       | 4.22    
2090       | 1.55    
2090       | 20.06   
2090       | 4.24    
2090       | 1.55    
2090       | 20.47   
2090       | 4.24    
2090       | 1.55    
2090       | 7.75    
2090       | 0.10    
2090       | 0.04    
2090       | 7.75    
2090       | 0.10    
2090       | 0.04    
2090       | 14.84   
2090       | 5.57    
2090       | 2.07    
2090       | 3.00    
2090       | 0.07    
2090       | 0.03    
2110       | 27.01   
2110       | 8.84    
2110       | 37.34   
2110       | 8.81    
2110       | 27.01   
2110       | 8.84    
2110       | 37.34   
2110       | 8.81    
2110       | 10.51   
2110       | 0.16    
2110       | 10.61   
2110       | 0.15    
2110       | 11.25   
2110       | 5.33    
2110       | 16.88   
2110       | 5.31    
2110       | 28.94   
2110       | 4.90    
2110       | 34.98   
2110       | 4.87    
2110       | 7.19    
2110       | 4.37    
2110       | 11.25   
2110       | 4.37    
2110       | 15.75   
2110       | 9.22    
2110       | 11.62   
2110       | 3.33    
2110       | 15.62   
2110       | 3.32    
2110       | 19.00   
2110       | 6.96    
2110       | 27.08   
2110       | 6.94    
2110       | 18.95   
2110       | 6.93    
2110       | 26.82   
2110       | 6.91    
2110       | 19.00   
2110       | 6.96    
2110       | 27.08   
2110       | 6.94    
2110       | 7.71    
2110       | 0.14    
2110       | 7.79    
2110       | 0.14    
2110       | 15.75   
2110       | 9.22    
2110       | 2.92    
2110       | 0.10    
2100       | 54.31   
2100       | 50.40   
2100       | 21.94   
2100       | 19.56   
2100       | 49.98   
2100       | 47.97   
2100       | 12.97   
2100       | 10.92   
2100       | 2.43    
2100       | 21.62   
2100       | 20.19   
2100       | 38.65   
2100       | 35.23   
2100       | 37.80   
2100       | 34.83   
2140       | 38.43   
2140       | 4.90    
2140       | 2.15    
2140       | 33.44   
2140       | 4.89    
2140       | 2.14    
2140       | 30.93   
2140       | 5.95    
2140       | 2.64    
2140       | 30.95   
2140       | 5.94    
2140       | 2.64    
2140       | 62.02   
